time_window_ms;center_frequency_hz;bandwidth_hz;RSSI_dB;SNR_dB;puissance_moyenne;variance_IQ;kurtosis;skewness;PSD_mean;occupation_spectrale;ISR_dB;RSRP_dB;RSRQ_dB;EVM_percent;BER_est;file_id;window_id;rf_pattern;anomaly_score;is_anomaly;threshold_p99;bin_path;sample_rate_hz;iq_dataform;delta_snr;delta_evm;delta_anomaly_score;cos_sim_prev;cfo_hz;delta_cfo_hz;cos_sim_0_2;cos_sim_1_3;window_start_ms;window_center_ms;cfo_khz;delta_cfo_khz;arocle_rf_pattern;proba_A;proba_C;proba_E;proba_L;proba_O;proba_R;arocle_rf_confidence;rf_state;uncertainty_score;S;P;E;C;T;R;A;Score_SPECTRA;SPECTRA_level;anomaly_score_scaled;Score_SPECTRA_norm;RiskScore_RF;priority
5,2897;1734000000,0;48000000,0;-36,464;16,8654;0,0002257344895042;0,0002257344895042;0,004758;0,000375;3,672008010158212e-12;0,791016;0,8459;-60,7237;-59,7056;14,346;0,0925795130907591;IQ_2024-04-20T22-06-22_790713246.json;0;chirp;0,0016624868614624;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,0;0,0;0,0;1,0;30718278,0;0,0;0,9999971008495812;0,9999632240067012;0,0;2,64485;30718,278;0,0;O;0,2223693375286905;0,0094032791013842;0,1439764946427154;0,2580868327274723;0,297023073478276;0,0691409825214614;0,297023073478276;pre_attack;0,7029769265217239;3;1;3;1;1;2;3;14;significatif;0,033249737229248;0,6666666666666666;0,02216649148616533;significant
5,2897;1734000000,0;48000000,0;-36,4652;16,5431;0,0002256733423564;0,0002256732695968;-0,017161;0,002076;3,67466517284254e-12;0,790527;0,9337;-60,7249;-59,7041;14,8882;0,0956116274544641;IQ_2024-04-20T22-06-22_790713246.json;1;chirp;0,0005751534168666;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;-0,322300000000002;0,5421999999999993;-0,0010873334445958;0,9999776722580928;30714226,0;-4052,0;0,9999971008495812;0,9999632240067012;5,2897;7,93455;30714,226;-4,052;normal;0,843656173765963;0,0018526977419265;0,0063292996668423;0,1371883999577793;0,0013846153846153;0,0095888134828732;0,843656173765963;normal;0,1563438262340369;3;1;1;1;3;2;3;14;faible;0,011503068337331999;0,6666666666666666;0,007668712224887999;low
5,2897;1734000000,0;48000000,0;-36,4798;16,7601;0,000224913470447;0,0002249132376164;-0,003294;-0,001155;3,659804230504715e-12;0,791504;0,9526;-60,7395;-59,7241;14,5209;0,0935592490074161;IQ_2024-04-20T22-06-22_790713246.json;2;chirp;0,0028530149046723;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,2170000000000023;-0,3673000000000002;0,0022778614878057;0,9999899051982976;30718582,0;4356,0;0,9999971008495812;0,9999632240067012;10,5794;13,22425;30718,582;4,356;normal;0,1889742335487267;0,167139009887787;0,1525862744609495;0,4309205567415551;0,0352078929376997;0,0251720324232817;0,4309205567415551;normal;0,5690794432584448;3;1;1;1;1;2;3;12;faible;0,057060298093445996;0,5714285714285714;0,03260588462482628;low
5,2897;1734000000,0;48000000,0;-36,4748;16,9534;0,0002251752157462;0,0002251752157462;-0,013126;-0,000635;3,662861680631124e-12;0,791016;1,0989;-60,7345;-59,7163;14,2013;0,0917679910054694;IQ_2024-04-20T22-06-22_790713246.json;3;chirp;0,0009964202213941;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,1932999999999971;-0,3195999999999994;-0,0018565946832782;0,9999911533934704;-30716776,0;-61435358,0;0,9999971008495812;0,9999632240067012;15,8691;18,51395;-30716,776;-61435,358;normal;0,1864032618189269;0,0287346566704669;0,34294483952059;0,4037214452971768;0,0272085561497326;0,0109872405431068;0,4037214452971768;normal;0,5962785547028232;3;1;1;1;1;2;3;12;faible;0,019928404427881997;0,5714285714285714;0,011387659673075427;low
5,2897;1734000000,0;48000000,0;-36,4861;16,7903;0,0002245888754259;0,000224588860874;-0,007151;0,000824;3,652453339775264e-12;0,790527;1,0014;-60,7458;-59,725;14,4706;0,093277864590152;IQ_2024-04-20T22-06-26_233650886.json;0;chirp;0,0023887509821983;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,0;0,0;0,0;1,0;30719218,0;0,0;0,9999997488283952;0,9999030532963944;0,0;2,64485;30719,218;0,0;O;0,229661765710536;0,0061358282809293;0,1349366353638119;0,2661992883856268;0,2960377625066722;0,0670287197524235;0,2960377625066722;pre_attack;0,7039622374933278;3;1;3;1;1;2;3;14;significatif;0,047775019643966;0,6666666666666666;0,031850013095977334;significant
5,2897;1734000000,0;48000000,0;-36,4374;16,8439;0,000227121883654;0,0002271215635119;-0,016923;0,000442;3,693888511041577e-12;0,79126;2,2552;-60,6971;-59,6803;14,3816;0,0927791944825499;IQ_2024-04-20T22-06-26_233650886.json;1;chirp;0,0008641958284897;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,0536000000000029;-0,0889999999999986;-0,0015245551537086;0,9999126218053128;-30719458,0;-61438676,0;0,9999997488283952;0,9999030532963944;5,2897;7,93455;-30719,458;-61438,676;normal;0,2130569854254342;0,0189494590112107;0,3559273908621224;0,3864714695152482;0,00024;0,0253546951859845;0,3864714695152482;normal;0,6135285304847518;3;1;1;1;1;2;3;12;faible;0,017283916569794;0,5714285714285714;0,009876523754167999;low
5,2897;1734000000,0;48000000,0;-36,4801;16,76;0,0002248982636956;0,0002248964447062;-0,02141;0,002288;3,6590999327734686e-12;0,791016;1,0303;-60,7398;-59,7217;14,5211;0,0935605338569993;IQ_2024-04-20T22-06-26_233650886.json;2;chirp;0,001685683084554;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;-0,0838999999999998;0,1394999999999999;0,0008214872560643;0,9999157432428272;-30718834,0;624,0;0,9999997488283952;0,9999030532963944;10,5794;13,22425;-30718,834;0,624;normal;0,3663107914326345;0,0024623774942261;0,0486654838495871;0,229394223049259;0,0009768421052631;0,3521902820690299;0,3663107914326345;normal;0,6336892085673655;3;1;1;1;2;2;3;13;faible;0,03371366169108;0,6190476190476191;0,02087036199924;low
5,2897;1734000000,0;48000000,0;-36,4796;16,9887;0,0002249256504001;0,0002249253448098;-0,015562;0,002378;3,6596220845397376e-12;0,791504;0,9599;-60,7393;-59,7238;14,1438;0,0914451681651903;IQ_2024-04-20T22-06-26_233650886.json;3;chirp;0,0023867241088562;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,2286999999999999;-0,3772999999999999;0,0007010410243021;0,999989018426946;-30718746,0;88,0;0,9999997488283952;0,9999030532963944;15,8691;18,51395;-30718,746;0,088;normal;0,1511548572037414;0,223912696490609;0,1624841107483443;0,4043660601524492;0,0382509418648442;0,0198313335400117;0,4043660601524492;normal;0,5956339398475508;3;1;1;1;1;2;3;12;faible;0,047734482177124;0,5714285714285714;0,027276846958356568;low
5,2897;1734000000,0;48000000,0;-36,4729;16,8801;0,0002252750273328;0,0002252748527098;-0,013257;0,004814;3,6653831012034566e-12;0,791504;0,8913;-60,7326;-59,7171;14,3217;0,0924435746741197;IQ_2024-04-20T22-06-29_647187383.json;0;chirp;0,001565508654068;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-29_647187383.bin;61440000,0;2;0,0;0,0;0,0;1,0;31980,875;0,0;0,9999784724661926;0,9997176610811872;0,0;2,64485;31,980875;0,0;O;0,2361081410684491;0,107378541383841;0,1492731909239453;0,0839427460371742;0,3484839243371625;0,0748134562494278;0,3484839243371625;pre_attack;0,6515160756628375;3;1;3;1;1;2;1;12;significatif;0,03131017308136;0,5714285714285714;0,017891527475062854;significant
5,2897;1734000000,0;48000000,0;-36,4774;16,6747;0,0002250411343993;0,0002250407997053;0,000106;0,004223;3,660264365906718e-12;0,790527;0,9267;-60,7371;-59,7162;14,6645;0,0943624188478613;IQ_2024-04-20T22-06-29_647187383.json;1;chirp;0,0018331551328288;0;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-29_647187383.bin;61440000,0;2;-0,2053999999999973;0,3428000000000004;0,0002676464787607;0,9999911455813884;-30717318,0;-30749298,875;0,9999784724661926;0,9997176610811872;5,2897;7,93455;-30717,318;-30749,298875;normal;0,4350998678812837;0,0068083501662195;0,0563873889110301;0,0262531869414993;0,0134058791423001;0,4620453269576668;0,4620453269576668;normal;0,5379546730423331;3;1;1;1;3;2;3;14;faible;0,036663102656576;0,6666666666666666;0,024442068437717332;low
