time_window_ms;center_frequency_hz;bandwidth_hz;RSSI_dB;SNR_dB;puissance_moyenne;variance_IQ;kurtosis;skewness;PSD_mean;occupation_spectrale;ISR_dB;RSRP_dB;RSRQ_dB;EVM_percent;BER_est;file_id;window_id;rf_pattern;threshold_p99;bin_path;sample_rate_hz;iq_dataform;delta_snr;delta_evm;delta_anomaly_score;cos_sim_prev;cfo_hz;delta_cfo_hz;cos_sim_0_2;cos_sim_1_3;window_start_ms;window_center_ms;cfo_khz;delta_cfo_khz;is_anomaly;anomaly_score;risk_score;state;rf_pattern_arocle
5,2897;1734000000,0;48000000,0;-36,464;16,8654;0,0002257344895042;0,0002257344895042;0,004758;0,000375;3,672008010158212e-12;0,791016;0,8459;-60,7237;-59,7056;14,346;0,0925795130907591;IQ_2024-04-20T22-06-22_790713246.json;0;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,0;0,0;0,0;1,0;30718278,0;0,0;0,9999971008495812;0,9999632240067012;0,0;2,64485;30718,278;0,0;0;0,0016624868614624;0,00058187040151184;normal;normal
5,2897;1734000000,0;48000000,0;-36,4652;16,5431;0,0002256733423564;0,0002256732695968;-0,017161;0,002076;3,67466517284254e-12;0,790527;0,9337;-60,7249;-59,7041;14,8882;0,0956116274544641;IQ_2024-04-20T22-06-22_790713246.json;1;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;-0,322300000000002;0,5421999999999993;-0,0010873334445958;0,9999776722580928;30714226,0;-4052,0;0,9999971008495812;0,9999632240067012;5,2897;7,93455;30714,226;-4,052;0;0,0005751534168666;0,11888130369590363;normal;normal
5,2897;1734000000,0;48000000,0;-36,4798;16,7601;0,000224913470447;0,0002249132376164;-0,003294;-0,001155;3,659804230504715e-12;0,791504;0,9526;-60,7395;-59,7241;14,5209;0,0935592490074161;IQ_2024-04-20T22-06-22_790713246.json;2;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,2170000000000023;-0,3673000000000002;0,0022778614878057;0,9999899051982976;30718582,0;4356,0;0,9999971008495812;0,9999632240067012;10,5794;13,22425;30718,582;4,356;0;0,0028530149046723;0,0017958067373672996;normal;normal
5,2897;1734000000,0;48000000,0;-36,4748;16,9534;0,0002251752157462;0,0002251752157462;-0,013126;-0,000635;3,662861680631124e-12;0,791016;1,0989;-60,7345;-59,7163;14,2013;0,0917679910054694;IQ_2024-04-20T22-06-22_790713246.json;3;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-22_790713246.bin;61440000,0;2;0,1932999999999971;-0,3195999999999994;-0,0018565946832782;0,9999911533934704;-30716776,0;-61435358,0;0,9999971008495812;0,9999632240067012;15,8691;18,51395;-30716,776;-61435,358;0;0,0009964202213941;0,00034874707748793496;normal;normal
5,2897;1734000000,0;48000000,0;-36,4861;16,7903;0,0002245888754259;0,000224588860874;-0,007151;0,000824;3,652453339775264e-12;0,790527;1,0014;-60,7458;-59,725;14,4706;0,093277864590152;IQ_2024-04-20T22-06-26_233650886.json;0;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,0;0,0;0,0;1,0;30719218,0;0,0;0,9999997488283952;0,9999030532963944;0,0;2,64485;30719,218;0,0;0;0,0023887509821983;0,000836062843769405;normal;normal
5,2897;1734000000,0;48000000,0;-36,4374;16,8439;0,000227121883654;0,0002271215635119;-0,016923;0,000442;3,693888511041577e-12;0,79126;2,2552;-60,6971;-59,6803;14,3816;0,0927791944825499;IQ_2024-04-20T22-06-26_233650886.json;1;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,0536000000000029;-0,0889999999999986;-0,0015245551537086;0,9999126218053128;-30719458,0;-61438676,0;0,9999997488283952;0,9999030532963944;5,2897;7,93455;-30719,458;-61438,676;0;0,0008641958284897;0,000302468539971395;normal;normal
5,2897;1734000000,0;48000000,0;-36,4801;16,76;0,0002248982636956;0,0002248964447062;-0,02141;0,002288;3,6590999327734686e-12;0,791016;1,0303;-60,7398;-59,7217;14,5211;0,0935605338569993;IQ_2024-04-20T22-06-26_233650886.json;2;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;-0,0838999999999998;0,1394999999999999;0,0008214872560643;0,9999157432428272;-30718834,0;624,0;0,9999997488283952;0,9999030532963944;10,5794;13,22425;-30718,834;0,624;0;0,001685683084554;0,03160750961921635;normal;normal
5,2897;1734000000,0;48000000,0;-36,4796;16,9887;0,0002249256504001;0,0002249253448098;-0,015562;0,002378;3,6596220845397376e-12;0,791504;0,9599;-60,7393;-59,7238;14,1438;0,0914451681651903;IQ_2024-04-20T22-06-26_233650886.json;3;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-26_233650886.bin;61440000,0;2;0,2286999999999999;-0,3772999999999999;0,0007010410243021;0,999989018426946;-30718746,0;88,0;0,9999997488283952;0,9999030532963944;15,8691;18,51395;-30718,746;0,088;0;0,0023867241088562;0,0010807177966054048;normal;normal
5,2897;1734000000,0;48000000,0;-36,4729;16,8801;0,0002252750273328;0,0002252748527098;-0,013257;0,004814;3,6653831012034566e-12;0,791504;0,8913;-60,7326;-59,7171;14,3217;0,0924435746741197;IQ_2024-04-20T22-06-29_647187383.json;0;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-29_647187383.bin;61440000,0;2;0,0;0,0;0,0;1,0;31980,875;0,0;0,9999784724661926;0,9997176610811872;0,0;2,64485;31,980875;0,0;0;0,001565508654068;0,0005479280289237999;normal;normal
5,2897;1734000000,0;48000000,0;-36,4774;16,6747;0,0002250411343993;0,0002250407997053;0,000106;0,004223;3,660264365906718e-12;0,790527;0,9267;-60,7371;-59,7162;14,6645;0,0943624188478613;IQ_2024-04-20T22-06-29_647187383.json;1;chirp;0,1258251626469985;C:\Users\awich\Desktop\WASD_RF_Project\data\36_LTE_1\bin\IQ_2024-04-20T22-06-29_647187383.bin;61440000,0;2;-0,2053999999999973;0,3428000000000004;0,0002676464787607;0,9999911455813884;-30717318,0;-30749298,875;0,9999784724661926;0,9997176610811872;5,2897;7,93455;-30717,318;-30749,298875;0;0,0018331551328288;0,07609528056405583;normal;normal
