time_window_ms;center_frequency_hz;bandwidth_hz;RSSI_dB;SNR_dB;puissance_moyenne;variance_IQ;kurtosis;skewness;PSD_mean;occupation_spectrale;ISR_dB;RSRP_dB;RSRQ_dB;EVM_percent;BER_est;file_id;window_id;rf_pattern
5,2897;1734000000,0;48000000,0;-36,464;16,8654;0,0002257344895042;0,0002257344895042;0,004758;0,000375;3,672008010158212e-12;0,791016;0,8459;-60,7237;-59,7056;14,346;0,0925795130907591;IQ_2024-04-20T22-06-22_790713246.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4652;16,5431;0,0002256733423564;0,0002256732695968;-0,017161;0,002076;3,67466517284254e-12;0,790527;0,9337;-60,7249;-59,7041;14,8882;0,0956116274544641;IQ_2024-04-20T22-06-22_790713246.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4798;16,7601;0,000224913470447;0,0002249132376164;-0,003294;-0,001155;3,659804230504715e-12;0,791504;0,9526;-60,7395;-59,7241;14,5209;0,0935592490074161;IQ_2024-04-20T22-06-22_790713246.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4748;16,9534;0,0002251752157462;0,0002251752157462;-0,013126;-0,000635;3,662861680631124e-12;0,791016;1,0989;-60,7345;-59,7163;14,2013;0,0917679910054694;IQ_2024-04-20T22-06-22_790713246.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4861;16,7903;0,0002245888754259;0,000224588860874;-0,007151;0,000824;3,652453339775264e-12;0,790527;1,0014;-60,7458;-59,725;14,4706;0,093277864590152;IQ_2024-04-20T22-06-26_233650886.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4374;16,8439;0,000227121883654;0,0002271215635119;-0,016923;0,000442;3,693888511041577e-12;0,79126;2,2552;-60,6971;-59,6803;14,3816;0,0927791944825499;IQ_2024-04-20T22-06-26_233650886.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4801;16,76;0,0002248982636956;0,0002248964447062;-0,02141;0,002288;3,6590999327734686e-12;0,791016;1,0303;-60,7398;-59,7217;14,5211;0,0935605338569993;IQ_2024-04-20T22-06-26_233650886.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4796;16,9887;0,0002249256504001;0,0002249253448098;-0,015562;0,002378;3,6596220845397376e-12;0,791504;0,9599;-60,7393;-59,7238;14,1438;0,0914451681651903;IQ_2024-04-20T22-06-26_233650886.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4729;16,8801;0,0002252750273328;0,0002252748527098;-0,013257;0,004814;3,6653831012034566e-12;0,791504;0,8913;-60,7326;-59,7171;14,3217;0,0924435746741197;IQ_2024-04-20T22-06-29_647187383.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4774;16,6747;0,0002250411343993;0,0002250407997053;0,000106;0,004223;3,660264365906718e-12;0,790527;0,9267;-60,7371;-59,7162;14,6645;0,0943624188478613;IQ_2024-04-20T22-06-29_647187383.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4538;16,6102;0,0002262673660879;0,0002262673951918;-0,014894;-0,00388;3,682010425720694e-12;0,790527;1,2265;-60,7135;-59,6926;14,7736;0,0949721435986785;IQ_2024-04-20T22-06-29_647187383.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4052;17,1041;0,000228814271395;0,0002288142277393;-0,011218;-0,003551;3,722857525728651e-12;0,791016;3,032;-60,6649;-59,6467;13,9571;0,0903956605703318;IQ_2024-04-20T22-06-29_647187383.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4679;16,4786;0,0002255322469864;0,0002255322033306;-0,006663;-0,002471;3,669313117238282e-12;0,790039;0,9618;-60,7276;-59,7041;14,9993;0,0962307455120321;IQ_2024-04-20T22-06-33_72054922.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4628;16,9599;0,0002257966552861;0,000225796320592;-0,008152;0,003161;3,673017619221231e-12;0,791504;0,9074;-60,7225;-59,707;14,1908;0,0917089886676197;IQ_2024-04-20T22-06-33_72054922.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4803;16,5905;0,0002248891250928;0,0002248891250928;-0,008719;-0,004321;3,6597790770143135e-12;0,791016;0,9767;-60,74;-59,7219;14,8073;0,0951600679454847;IQ_2024-04-20T22-06-33_72054922.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4709;16,5277;0,0002253797574667;0,0002253787533845;-0,012008;-0,001013;3,6682445275770795e-12;0,790527;1,2985;-60,7305;-59,7097;14,9147;0,0957590186814806;IQ_2024-04-20T22-06-33_72054922.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4721;17,3118;0,0002253130223834;0,0002253126003779;-0,012946;0,004679;3,661636532176216e-12;0,791992;1,0703;-60,7318;-59,719;13,6273;0,0885378208295856;IQ_2024-04-20T22-06-36_631108744.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4541;16,8046;0,0002262500056531;0,0002262500056531;-0,009282;0,00484;3,6801204444936175e-12;0,790527;1,0715;-60,7138;-59,693;14,4468;0,0931444538656188;IQ_2024-04-20T22-06-36_631108744.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4276;16,655;0,0002276350278407;0,0002276347513543;-0,013039;-0,001273;3,703351861283899e-12;0,790039;3,5231;-60,6873;-59,6638;14,6978;0,0945483432286558;IQ_2024-04-20T22-06-36_631108744.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,4607;16,5764;0,0002259046159451;0,0002259046159451;-0,014163;-0,00225;3,676357829274224e-12;0,791016;1,022;-60,7204;-59,7023;14,8313;0,0952941117929873;IQ_2024-04-20T22-06-36_631108744.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,458;17,2071;0,0002260469918837;0,0002260468463646;-0,010063;-0,003982;3,674600554393059e-12;0,791992;1,0019;-60,7177;-59,7049;13,7926;0,0894695287992196;IQ_2024-04-20T22-06-40_174798921.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4754;16,7836;0,0002251427213195;0,0002251417899969;-0,017671;0,002863;3,662654381175745e-12;0,790527;0,8922;-60,7351;-59,7143;14,4818;0,0933403687110594;IQ_2024-04-20T22-06-40_174798921.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4561;16,9069;0,0002261470654048;0,000226146687055;-0,012557;0,002692;3,682273670008174e-12;0,791504;1,0044;-60,7158;-59,7003;14,2776;0,0921959275410548;IQ_2024-04-20T22-06-40_174798921.json;2;chirp
5,2897;1734000000,0;48000000,0;-36,465;16,5305;0,0002256837324239;0,0002256831648992;-0,004339;0,00111;3,6712273845940224e-12;0,791016;1,0539;-60,7247;-59,7065;14,9099;0,0957326482547964;IQ_2024-04-20T22-06-40_174798921.json;3;chirp
5,2897;1734000000,0;48000000,0;-36,4669;16,9065;0,0002255863073514;0,0002255863073514;-0,021747;0,00212;3,66974940019249e-12;0,791016;0,9998;-60,7266;-59,7084;14,2782;0,0921997259744687;IQ_2024-04-20T22-06-43_588796968.json;0;chirp
5,2897;1734000000,0;48000000,0;-36,4713;17,3169;0,0002253575221402;0,0002253575075883;-0,00565;-0,002527;3,666608683339234e-12;0,791992;0,9957;-60,731;-59,7182;13,6194;0,08849277711076;IQ_2024-04-20T22-06-43_588796968.json;1;chirp
5,2897;1734000000,0;48000000,0;-36,4467;16,593;0,0002266344235977;0,0002266343071823;-0,018414;-0,004333;3,6864153223070676e-12;0,791016;3,3961;-60,7064;-59,6883;14,8031;0,095136402841894;IQ_2024-04-20T22-06-43_588796968.json;2;chirp
