time_window_ms;center_frequency_hz;bandwidth_hz;RSSI_dB;SNR_dB;puissance_moyenne;variance_IQ;kurtosis;skewness;PSD_mean;occupation_spectrale;ISR_dB;RSRP_dB;RSRQ_dB;EVM_percent;BER_est;file_id;window_id;rf_pattern;anomaly_score;is_anomaly;threshold_p99
5,2897;1734000000,0;48000000,0;-36,464;16,8654;0,0002257344895042;0,0002257344895042;0,004758;0,000375;3,672008010158212e-12;0,791016;0,8459;-60,7237;-59,7056;14,346;0,0925795130907591;IQ_2024-04-20T22-06-22_790713246.json;0;chirp;0,0016624868614624273;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4652;16,5431;0,0002256733423564;0,0002256732695968;-0,017161;0,002076;3,67466517284254e-12;0,790527;0,9337;-60,7249;-59,7041;14,8882;0,0956116274544641;IQ_2024-04-20T22-06-22_790713246.json;1;chirp;0,0005751534168666781;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4798;16,7601;0,000224913470447;0,0002249132376164;-0,003294;-0,001155;3,659804230504715e-12;0,791504;0,9526;-60,7395;-59,7241;14,5209;0,0935592490074161;IQ_2024-04-20T22-06-22_790713246.json;2;chirp;0,0028530149046723;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4748;16,9534;0,0002251752157462;0,0002251752157462;-0,013126;-0,000635;3,662861680631124e-12;0,791016;1,0989;-60,7345;-59,7163;14,2013;0,0917679910054694;IQ_2024-04-20T22-06-22_790713246.json;3;chirp;0,0009964202213941405;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4861;16,7903;0,0002245888754259;0,000224588860874;-0,007151;0,000824;3,652453339775264e-12;0,790527;1,0014;-60,7458;-59,725;14,4706;0,093277864590152;IQ_2024-04-20T22-06-26_233650886.json;0;chirp;0,0023887509821983208;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4374;16,8439;0,000227121883654;0,0002271215635119;-0,016923;0,000442;3,693888511041577e-12;0,79126;2,2552;-60,6971;-59,6803;14,3816;0,0927791944825499;IQ_2024-04-20T22-06-26_233650886.json;1;chirp;0,0008641958284897151;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4801;16,76;0,0002248982636956;0,0002248964447062;-0,02141;0,002288;3,6590999327734686e-12;0,791016;1,0303;-60,7398;-59,7217;14,5211;0,0935605338569993;IQ_2024-04-20T22-06-26_233650886.json;2;chirp;0,001685683084554;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4796;16,9887;0,0002249256504001;0,0002249253448098;-0,015562;0,002378;3,6596220845397376e-12;0,791504;0,9599;-60,7393;-59,7238;14,1438;0,0914451681651903;IQ_2024-04-20T22-06-26_233650886.json;3;chirp;0,002386724108856252;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4729;16,8801;0,0002252750273328;0,0002252748527098;-0,013257;0,004814;3,6653831012034566e-12;0,791504;0,8913;-60,7326;-59,7171;14,3217;0,0924435746741197;IQ_2024-04-20T22-06-29_647187383.json;0;chirp;0,0015655086540680091;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4774;16,6747;0,0002250411343993;0,0002250407997053;0,000106;0,004223;3,660264365906718e-12;0,790527;0,9267;-60,7371;-59,7162;14,6645;0,0943624188478613;IQ_2024-04-20T22-06-29_647187383.json;1;chirp;0,0018331551328288668;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4538;16,6102;0,0002262673660879;0,0002262673951918;-0,014894;-0,00388;3,682010425720694e-12;0,790527;1,2265;-60,7135;-59,6926;14,7736;0,0949721435986785;IQ_2024-04-20T22-06-29_647187383.json;2;chirp;0,0008294324980739443;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4052;17,1041;0,000228814271395;0,0002288142277393;-0,011218;-0,003551;3,722857525728651e-12;0,791016;3,032;-60,6649;-59,6467;13,9571;0,0903956605703318;IQ_2024-04-20T22-06-29_647187383.json;3;chirp;0,004126876691462762;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4679;16,4786;0,0002255322469864;0,0002255322033306;-0,006663;-0,002471;3,669313117238282e-12;0,790039;0,9618;-60,7276;-59,7041;14,9993;0,0962307455120321;IQ_2024-04-20T22-06-33_72054922.json;0;chirp;0,0013245899069853494;0;0,1258251626469985
5,2897;1734000000,0;48000000,0;-36,4628;16,9599;0,0002257966552861;0,000225796320592;-0,008152;0,003161;3,673017619221231e-12;0,791504;0,9074;-60,7225;-59,707;14,1908;0,0917089886676197;IQ_2024-04-20T22-06-33_72054922.json;1;chirp;0,0010495402202504184;0;0,1258251626469985
